N° Enr.;NomETS;RegionETS
1; E MATHIEU;POOL
2; GROUPE SCOLAIRE LE GENIE DE DIEU NICIE;BRAZZAVILLE
3; INST PAPYRUS;BRAZZAVILLE
4; INSTITUT CATHOLIQUE MGR MICHEL THIRIEZ;BRAZZAVILLE
5; KANGA MBANZI;POOL
6; MINGOUI;POOL
7;"""C5"" CLASSE ELITAIRE";BRAZZAVILLE
8;(GSAM) ADOLPHE MOUANDA I;BRAZZAVILLE
9;"03 FRANCS ""A""";BRAZZAVILLE
10;"03 FRANCS ""B""";BRAZZAVILLE
11;05-Fev-79 (Gamboma 2);PLATEAUX
12;05-Fev-79 A (Makotimpoko);PLATEAUX
13;05-Fev-79 B (Makotimpoko);PLATEAUX
14;"08 FEVRIER 1964 ""B""";POINTE-NOIRE
15;08/02/1964;NIARI
16;12 OCTOBRE 1951;BRAZZAVILLE
17;12 OCTOBRE 1951 (ECOLE KIMBANGUISTE);BRAZZAVILLE
18;13 Février 71 A;NIARI
19;13 Février 71 B;NIARI
20;15 AOÛT 1963;BRAZZAVILLE
21;"15 Août 1963 ""A""";POINTE-NOIRE
22;"15 Août 1963 ""B""";POINTE-NOIRE
23;18 MARS 1977 A;BRAZZAVILLE
24;18 MARS 1977 B;BRAZZAVILLE
25;18 Mars 1977 A;CUVETTE
26;18 Mars 1977 A;CUVETTE CENTRALE
27;18 Mars 1977 B;CUVETTE
28;18 Mars 1977 B;CUVETTE CENTRALE
29;18/03/1977;PLATEAUX
30;"19 SEPTEMBRE 1965 ""A""";POINTE-NOIRE
31;"19 SEPTEMBRE 1965 ""B""";POINTE-NOIRE
32;1er Mai;PLATEAUX
33;23/03/1970 A;CUVETTE
34;23/03/1970 A;CUVETTE CENTRALE
35;23/03/1970 B;CUVETTE
36;23/03/1970 B;CUVETTE CENTRALE
37;"28 JUIN 1968 ""A""";POINTE-NOIRE
38;"28 JUIN 1968 ""B""";POINTE-NOIRE
39;3 Présidents;CUVETTE
40;3 Présidents;CUVETTE CENTRALE
41;30 OCTOBRE 1968 B;BRAZZAVILLE
42;30 OCTOBRE 1984 A;BRAZZAVILLE
43;31 DECEMBRE 1969 A;BRAZZAVILLE
44;31 DECEMBRE 1969 B;BRAZZAVILLE
45;31 JUILLET 1968 A;BRAZZAVILLE
46;31 JUILLET 1968 B;BRAZZAVILLE
47;31 Juillet A;LIKOUALA
48;31 Juillet B;LIKOUALA
