N° Enr.;NomETS;RegionETS
1;ALKHAR;POINTE-NOIRE
2;ANTOINETTE KOBI;BRAZZAVILLE
3;CANDIDAT LIBRE ABALA;PLATEAUX
4;CANDIDAT LIBRE BOKO;POOL
5;CANDIDAT LIBRE BRAZZAVILLE;BRAZZAVILLE
6;CANDIDAT LIBRE DE DOLISIE;NIARI
7;CANDIDAT LIBRE DE MADINGOU;BOUENZA
8;CANDIDAT LIBRE DE MAKABANA;NIARI
9;CANDIDAT LIBRE DE MOSSENDJO;NIARI
10;CANDIDAT LIBRE DE OUESSO;SANGHA
11;CANDIDAT LIBRE DE SIBITI;LEKOUMOU
12;CANDIDAT LIBRE DOLISIE;NIARI
13;CANDIDAT LIBRE ELOGO;SANGHA
14;CANDIDAT LIBRE EWO;CUVETTE OUEST
15;CANDIDAT LIBRE IMPFONDO;LIKOUALA
16;CANDIDAT LIBRE KINDAMBA;POOL
17;CANDIDAT LIBRE KINKALA;POOL
18;CANDIDAT LIBRE LINZOLO;POOL
19;CANDIDAT LIBRE MAYAMA;POOL
20;CANDIDAT LIBRE MINDOULI;POOL
21;CANDIDAT LIBRE MPOUYA;PLATEAUX
22;CANDIDAT LIBRE NKAYI;BOUENZA
23;CANDIDAT LIBRE OKOYO;CUVETTE OUEST
24;CANDIDAT LIBRE OUESSO;SANGHA
25;CANDIDAT LIBRE OWANDO;CUVETTE
26;CANDIDAT LIBRE OYO;CUVETTE
27;CANDIDAT LIBRE POINTE-NOIRE;POINTE-NOIRE
28;CANDIDAT LIBRE SIBITI;LEKOUMOU
29;CANDIDATS LIBRES DE BRAZZAVILLE;BRAZZAVILLE
30;CANDIDATS LIBRES DE DJAMBALA;PLATEAUX
31;CANDIDATS LIBRES DE DOLISIE;NIARI
32;CANDIDATS LIBRES DE LEKANA;PLATEAUX
33;CANDIDATS LIBRES DE MAKOUA;CUVETTE
34;CANDIDATS LIBRES DE OUESSO;SANGHA
35;CANDIDATS LIBRES DE SIBITI;LEKOUMOU
36;CANDIDATS LIBRES D'IMPFONDO;LIKOUALA
37;CANDIDATS LIBRES D'ONGOGNI;PLATEAUX
38;CANDIDATS LIBRES D'OWANDO;CUVETTE
39;CANDIDATS LIBRES D'OYO;CUVETTE
40;CEPT ISAAC 7/7 DANNY;POINTE-NOIRE
41;CEPT ISAAC LOANDJILI;POINTE-NOIRE
42;CEPT ISAAC MPAKA;POINTE-NOIRE
43;CEPT-ISAC;POINTE-NOIRE
44;CEPT-ISAC MONT KAMBA;POINTE-NOIRE
45;CETA BOKO;POOL
46;CETA DOLISIE;NIARI
47;CETA ELOGO;SANGHA
48;CETA KINDAMBA;POOL
49;CETA MOUYONDZI;BOUENZA
50;CETA OKOYO;CUVETTE OUEST
51;CET DE BOKO;POOL
52;CET DE KOMONO;LEKOUMOU
53;CETF 8 MARS;BRAZZAVILLE
54;CETF DE DOLISIE;NIARI
55;CETF DE MADINGOU;BOUENZA
56;CETF DE OUESSO;SANGHA
57;CETF DE SIBITI;LEKOUMOU
58;CETF DOLISIE;NIARI
59;CETF EWO;CUVETTE OUEST
60;CETF IMPFONDO;LIKOUALA
61;CETF M. MBOUALE;CUVETTE
62;CETF MOSSENDJO;NIARI
63;CETF T. MADELEINE;POINTE-NOIRE
64;CETI DE MOUYONDZI;BOUENZA
65;CETI LINZOLO;POOL
66;CETI OYO;CUVETTE
67;CETM DE DOLISIE;NIARI
68;CETM DE NKAYI;BOUENZA
69;CETM DE SIBITI;LEKOUMOU
70;CET ZANAGA (AMITIE OMAR BONGO);LEKOUMOU
71;C.F.P ENFANT JESUS;POINTE-NOIRE
72;C.L EWO;CUVETTE OUEST
73;CMA-CETA DE MAYAMA;POOL
74;CMA-CETA D'ODZIBA;POOL
75;CMI CET ABALA;PLATEAUX
76;CMI-CET MPOUYA;PLATEAUX
77;COLLEGE D'ENSEIGNEMENT TECHNIQUE DE MAKABANA;NIARI
78;COLLEGE D'ENSEIGNEMENT TECHNIQUE INDUSTRIEL DE SEMBE;SANGHA
79;COMLPLEXE SCOLAIRE PRIVE PILASTRE ANGULAIRE;POINTE-NOIRE
80;COMPLEXE SAINT FLAVIEN;BRAZZAVILLE
81;COMPLEXE SCOLAIRE ANNE MARIE JAVOUHEY;BRAZZAVILLE
82;COMPLEXE SCOLAIRE BETINA;BRAZZAVILLE
83;COMPLEXE SCOLAIRE CAMARA LAYE;BRAZZAVILLE
84;COMPLEXE SCOLAIRE CHARLES ERNEST;BRAZZAVILLE
85;COMPLEXE SCOLAIRE CKLOÉ DAPHNÉ;BRAZZAVILLE
86;COMPLEXE SCOLAIRE DE LA POUDRIERE;BRAZZAVILLE
87;COMPLEXE SCOLAIRE EMMANUEL;POINTE-NOIRE
88;COMPLEXE SCOLAIRE EMMANUEL 5;BRAZZAVILLE
89;COMPLEXE SCOLAIRE GNETO;BRAZZAVILLE
90;COMPLEXE SCOLAIRE GUSTAVE FLAUBERT;BRAZZAVILLE
91;COMPLEXE SCOLAIRE HEGEL;BRAZZAVILLE
92;COMPLEXE SCOLAIRE JEANNE D'ARC;BRAZZAVILLE
93;COMPLEXE SCOLAIRE JEAN RACINE;BRAZZAVILLE
94;COMPLEXE SCOLAIRE JOSEPH BIKOKO;BRAZZAVILLE
95;COMPLEXE SCOLAIRE LA DYNAMIQUE;BRAZZAVILLE
96;COMPLEXE SCOLAIRE LA FOI DU COEUR;BRAZZAVILLE
97;COMPLEXE SCOLAIRE LA GRACE;BRAZZAVILLE
98;COMPLEXE SCOLAIRE LA RELEVE;BRAZZAVILLE
99;COMPLEXE SCOLAIRE LEAURRY-FLORIDE;POINTE-NOIRE
100;COMPLEXE SCOLAIRE LE BON BERGER;SANGHA
101;COMPLEXE SCOLAIRE LE CLERMONTOIS;BRAZZAVILLE
102;COMPLEXE SCOLAIRE LE COGITO PERE BOUKA;BRAZZAVILLE
103;COMPLEXE SCOLAIRE LE REQUIN;BRAZZAVILLE
104;COMPLEXE SCOLAIRE LES ELITES 3D;BRAZZAVILLE
105;COMPLEXE SCOLAIRE LES PATRIOTES;BRAZZAVILLE
